,SUBJECTINDEX,age,answer,catch,category,dataset_nr,end,filenumber,fix,on_image,patchpos,start,trial,valid,mean_x,mean_y
105,1.0,2.0,1.0,0.0,8.0,0.0,656.0,38.0,1.0,1.0,633.0,490.0,7.0,1.0,397.9291,666.5277
106,1.0,2.0,1.0,0.0,8.0,0.0,908.0,38.0,2.0,1.0,1008.0,722.0,7.0,1.0,887.9266,652.9712
107,1.0,2.0,1.0,0.0,8.0,0.0,1166.0,38.0,3.0,1.0,633.0,946.0,7.0,1.0,1028.1132,561.2121
108,1.0,2.0,1.0,0.0,8.0,0.0,1436.0,38.0,4.0,1.0,1008.0,1224.0,7.0,1.0,733.53345,746.7615
109,1.0,2.0,1.0,0.0,8.0,0.0,1722.0,38.0,5.0,1.0,633.0,1492.0,7.0,1.0,371.0199,589.24677
110,1.0,2.0,1.0,0.0,8.0,0.0,1940.0,38.0,6.0,1.0,1008.0,1750.0,7.0,1.0,367.0872,531.7264
111,1.0,2.0,1.0,0.0,8.0,0.0,2206.0,38.0,7.0,1.0,633.0,2020.0,7.0,1.0,736.39343,567.60223
112,1.0,2.0,1.0,0.0,8.0,0.0,2444.0,38.0,8.0,1.0,1008.0,2260.0,7.0,1.0,904.19745,599.8016
113,1.0,2.0,1.0,0.0,8.0,0.0,2696.0,38.0,9.0,1.0,633.0,2478.0,7.0,1.0,1017.44305,638.8355
114,1.0,2.0,1.0,0.0,8.0,0.0,2940.0,38.0,10.0,1.0,1008.0,2738.0,7.0,1.0,1210.1267,616.3192
115,1.0,2.0,1.0,0.0,8.0,0.0,3200.0,38.0,11.0,1.0,633.0,3026.0,7.0,1.0,744.93646,756.8534
116,1.0,2.0,1.0,0.0,8.0,0.0,3386.0,38.0,12.0,1.0,1008.0,3288.0,7.0,1.0,336.64584,608.096
117,1.0,2.0,1.0,0.0,8.0,0.0,3650.0,38.0,13.0,1.0,633.0,3424.0,7.0,1.0,448.73782,508.3517
118,1.0,2.0,1.0,0.0,8.0,0.0,3962.0,38.0,14.0,1.0,1008.0,3720.0,7.0,1.0,740.29736,511.177
119,1.0,2.0,1.0,0.0,8.0,0.0,4276.0,38.0,15.0,1.0,633.0,4054.0,7.0,1.0,276.35544,643.8057
120,1.0,2.0,1.0,0.0,8.0,0.0,4516.0,38.0,16.0,1.0,1008.0,4300.0,7.0,1.0,307.23923,588.8258
