id;Factor;Power;Time;ROI;Frequency;Eyes
1;ALPHA_aucp_PRE_EC_midline;0.4354;Pre;Midline;Alpha;EC
2;ALPHA_aucp_PRE_EC_midline;0.50774;Pre;Midline;Alpha;EC
3;ALPHA_aucp_PRE_EC_midline;0.43263999999999997;Pre;Midline;Alpha;EC
4;ALPHA_aucp_PRE_EC_midline;0.36458;Pre;Midline;Alpha;EC
5;ALPHA_aucp_PRE_EC_midline;0.15742;Pre;Midline;Alpha;EC
6;ALPHA_aucp_PRE_EC_midline;0.1983;Pre;Midline;Alpha;EC
7;ALPHA_aucp_PRE_EC_midline;0.1337;Pre;Midline;Alpha;EC
8;ALPHA_aucp_PRE_EC_midline;0.1143;Pre;Midline;Alpha;EC
9;ALPHA_aucp_PRE_EC_midline;0.128;Pre;Midline;Alpha;EC
10;ALPHA_aucp_PRE_EC_midline;0.18952;Pre;Midline;Alpha;EC
11;ALPHA_aucp_PRE_EC_midline;0.17046;Pre;Midline;Alpha;EC
12;ALPHA_aucp_PRE_EC_midline;0.31978;Pre;Midline;Alpha;EC
13;ALPHA_aucp_PRE_EC_midline;0.26132;Pre;Midline;Alpha;EC
14;ALPHA_aucp_PRE_EC_midline;0.18528;Pre;Midline;Alpha;EC
1;ALPHA_aucp_POST_EC_midline;0.43308;Post;Midline;Alpha;EC
2;ALPHA_aucp_POST_EC_midline;0.52088;Post;Midline;Alpha;EC
3;ALPHA_aucp_POST_EC_midline;0.40392;Post;Midline;Alpha;EC
4;ALPHA_aucp_POST_EC_midline;0.36454000000000003;Post;Midline;Alpha;EC
5;ALPHA_aucp_POST_EC_midline;0.18432;Post;Midline;Alpha;EC
6;ALPHA_aucp_POST_EC_midline;0.21524000000000001;Post;Midline;Alpha;EC
7;ALPHA_aucp_POST_EC_midline;0.14444;Post;Midline;Alpha;EC
8;ALPHA_aucp_POST_EC_midline;0.14494;Post;Midline;Alpha;EC
9;ALPHA_aucp_POST_EC_midline;0.11485999999999999;Post;Midline;Alpha;EC
10;ALPHA_aucp_POST_EC_midline;0.30758;Post;Midline;Alpha;EC
11;ALPHA_aucp_POST_EC_midline;0.1941;Post;Midline;Alpha;EC
12;ALPHA_aucp_POST_EC_midline;0.45103999999999994;Post;Midline;Alpha;EC
13;ALPHA_aucp_POST_EC_midline;0.30244;Post;Midline;Alpha;EC
14;ALPHA_aucp_POST_EC_midline;0.2092;Post;Midline;Alpha;EC
1;THETA_aucp_PRE_EC_midline;0.13004000000000002;Pre;Midline;Theta;EC
2;THETA_aucp_PRE_EC_midline;0.23568000000000003;Pre;Midline;Theta;EC
3;THETA_aucp_PRE_EC_midline;0.16372;Pre;Midline;Theta;EC
4;THETA_aucp_PRE_EC_midline;0.1338;Pre;Midline;Theta;EC
5;THETA_aucp_PRE_EC_midline;0.24518;Pre;Midline;Theta;EC
6;THETA_aucp_PRE_EC_midline;0.38611999999999996;Pre;Midline;Theta;EC
7;THETA_aucp_PRE_EC_midline;0.18752;Pre;Midline;Theta;EC
8;THETA_aucp_PRE_EC_midline;0.21871999999999997;Pre;Midline;Theta;EC
9;THETA_aucp_PRE_EC_midline;0.1403;Pre;Midline;Theta;EC
10;THETA_aucp_PRE_EC_midline;0.1795;Pre;Midline;Theta;EC
11;THETA_aucp_PRE_EC_midline;0.16388;Pre;Midline;Theta;EC
12;THETA_aucp_PRE_EC_midline;0.19824;Pre;Midline;Theta;EC
13;THETA_aucp_PRE_EC_midline;0.2079;Pre;Midline;Theta;EC
14;THETA_aucp_PRE_EC_midline;0.17074;Pre;Midline;Theta;EC
1;THETA_aucp_POST_EC_midline;0.14778;Post;Midline;Theta;EC
2;THETA_aucp_POST_EC_midline;0.11802;Post;Midline;Theta;EC
3;THETA_aucp_POST_EC_midline;0.1853;Post;Midline;Theta;EC
4;THETA_aucp_POST_EC_midline;0.15604;Post;Midline;Theta;EC
5;THETA_aucp_POST_EC_midline;0.21406;Post;Midline;Theta;EC
6;THETA_aucp_POST_EC_midline;0.32276;Post;Midline;Theta;EC
7;THETA_aucp_POST_EC_midline;0.19655999999999998;Post;Midline;Theta;EC
8;THETA_aucp_POST_EC_midline;0.24636;Post;Midline;Theta;EC
9;THETA_aucp_POST_EC_midline;0.12714;Post;Midline;Theta;EC
10;THETA_aucp_POST_EC_midline;0.17952;Post;Midline;Theta;EC
11;THETA_aucp_POST_EC_midline;0.14836;Post;Midline;Theta;EC
12;THETA_aucp_POST_EC_midline;0.1135;Post;Midline;Theta;EC
13;THETA_aucp_POST_EC_midline;0.20115999999999998;Post;Midline;Theta;EC
14;THETA_aucp_POST_EC_midline;0.12964;Post;Midline;Theta;EC
1;DELTA_aucp_PRE_EC_midline;0.1391;Pre;Midline;Delta;EC
2;DELTA_aucp_PRE_EC_midline;0.10638;Pre;Midline;Delta;EC
3;DELTA_aucp_PRE_EC_midline;0.18452000000000002;Pre;Midline;Delta;EC
4;DELTA_aucp_PRE_EC_midline;0.13535999999999998;Pre;Midline;Delta;EC
5;DELTA_aucp_PRE_EC_midline;0.19846;Pre;Midline;Delta;EC
6;DELTA_aucp_PRE_EC_midline;0.24100000000000002;Pre;Midline;Delta;EC
7;DELTA_aucp_PRE_EC_midline;0.21466;Pre;Midline;Delta;EC
8;DELTA_aucp_PRE_EC_midline;0.27302;Pre;Midline;Delta;EC
9;DELTA_aucp_PRE_EC_midline;0.20521999999999999;Pre;Midline;Delta;EC
10;DELTA_aucp_PRE_EC_midline;0.22554000000000002;Pre;Midline;Delta;EC
11;DELTA_aucp_PRE_EC_midline;0.20515999999999998;Pre;Midline;Delta;EC
12;DELTA_aucp_PRE_EC_midline;0.16994;Pre;Midline;Delta;EC
13;DELTA_aucp_PRE_EC_midline;0.16005999999999998;Pre;Midline;Delta;EC
14;DELTA_aucp_PRE_EC_midline;0.24600000000000002;Pre;Midline;Delta;EC
1;DELTA_aucp_POST_EC_midline;0.13254000000000002;Post;Midline;Delta;EC
2;DELTA_aucp_POST_EC_midline;0.10992;Post;Midline;Delta;EC
3;DELTA_aucp_POST_EC_midline;0.20264000000000001;Post;Midline;Delta;EC
4;DELTA_aucp_POST_EC_midline;0.14664000000000002;Post;Midline;Delta;EC
5;DELTA_aucp_POST_EC_midline;0.19416;Post;Midline;Delta;EC
6;DELTA_aucp_POST_EC_midline;0.28054;Post;Midline;Delta;EC
7;DELTA_aucp_POST_EC_midline;0.21434;Post;Midline;Delta;EC
8;DELTA_aucp_POST_EC_midline;0.2542;Post;Midline;Delta;EC
9;DELTA_aucp_POST_EC_midline;0.20964000000000002;Post;Midline;Delta;EC
10;DELTA_aucp_POST_EC_midline;0.19682;Post;Midline;Delta;EC
11;DELTA_aucp_POST_EC_midline;0.1661;Post;Midline;Delta;EC
12;DELTA_aucp_POST_EC_midline;0.1429;Post;Midline;Delta;EC
13;DELTA_aucp_POST_EC_midline;0.15384;Post;Midline;Delta;EC
14;DELTA_aucp_POST_EC_midline;0.21914;Post;Midline;Delta;EC
1;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.500775;Pre;Parietotemporal;Alpha;EC
2;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.6447;Pre;Parietotemporal;Alpha;EC
3;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.533075;Pre;Parietotemporal;Alpha;EC
4;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.38245;Pre;Parietotemporal;Alpha;EC
5;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.199575;Pre;Parietotemporal;Alpha;EC
6;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.24425;Pre;Parietotemporal;Alpha;EC
7;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.1482;Pre;Parietotemporal;Alpha;EC
8;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.199075;Pre;Parietotemporal;Alpha;EC
9;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.157725;Pre;Parietotemporal;Alpha;EC
10;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.240275;Pre;Parietotemporal;Alpha;EC
11;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.180075;Pre;Parietotemporal;Alpha;EC
12;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.34145;Pre;Parietotemporal;Alpha;EC
13;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.297925;Pre;Parietotemporal;Alpha;EC
14;ALPHA_aucp_PRE_EC_parietotemporalPURE;0.197025;Pre;Parietotemporal;Alpha;EC
1;ALPHA_aucp_POST_EC_parietotemporalPURE;0.515825;Post;Parietotemporal;Alpha;EC
2;ALPHA_aucp_POST_EC_parietotemporalPURE;0.50555;Post;Parietotemporal;Alpha;EC
3;ALPHA_aucp_POST_EC_parietotemporalPURE;0.4488;Post;Parietotemporal;Alpha;EC
4;ALPHA_aucp_POST_EC_parietotemporalPURE;0.442625;Post;Parietotemporal;Alpha;EC
5;ALPHA_aucp_POST_EC_parietotemporalPURE;0.23465;Post;Parietotemporal;Alpha;EC
6;ALPHA_aucp_POST_EC_parietotemporalPURE;0.29505;Post;Parietotemporal;Alpha;EC
7;ALPHA_aucp_POST_EC_parietotemporalPURE;0.159025;Post;Parietotemporal;Alpha;EC
8;ALPHA_aucp_POST_EC_parietotemporalPURE;0.180525;Post;Parietotemporal;Alpha;EC
9;ALPHA_aucp_POST_EC_parietotemporalPURE;0.14800000000000002;Post;Parietotemporal;Alpha;EC
10;ALPHA_aucp_POST_EC_parietotemporalPURE;0.394575;Post;Parietotemporal;Alpha;EC
11;ALPHA_aucp_POST_EC_parietotemporalPURE;0.202075;Post;Parietotemporal;Alpha;EC
12;ALPHA_aucp_POST_EC_parietotemporalPURE;0.4456;Post;Parietotemporal;Alpha;EC
13;ALPHA_aucp_POST_EC_parietotemporalPURE;0.32045;Post;Parietotemporal;Alpha;EC
14;ALPHA_aucp_POST_EC_parietotemporalPURE;0.277075;Post;Parietotemporal;Alpha;EC
1;THETA_aucp_PRE_EC_parietotemporalPURE;0.11035;Pre;Parietotemporal;Theta;EC
2;THETA_aucp_PRE_EC_parietotemporalPURE;0.12115;Pre;Parietotemporal;Theta;EC
3;THETA_aucp_PRE_EC_parietotemporalPURE;0.1284;Pre;Parietotemporal;Theta;EC
4;THETA_aucp_PRE_EC_parietotemporalPURE;0.131675;Pre;Parietotemporal;Theta;EC
5;THETA_aucp_PRE_EC_parietotemporalPURE;0.2458;Pre;Parietotemporal;Theta;EC
6;THETA_aucp_PRE_EC_parietotemporalPURE;0.336475;Pre;Parietotemporal;Theta;EC
7;THETA_aucp_PRE_EC_parietotemporalPURE;0.16995;Pre;Parietotemporal;Theta;EC
8;THETA_aucp_PRE_EC_parietotemporalPURE;0.161575;Pre;Parietotemporal;Theta;EC
9;THETA_aucp_PRE_EC_parietotemporalPURE;0.1494;Pre;Parietotemporal;Theta;EC
10;THETA_aucp_PRE_EC_parietotemporalPURE;0.1556;Pre;Parietotemporal;Theta;EC
11;THETA_aucp_PRE_EC_parietotemporalPURE;0.139625;Pre;Parietotemporal;Theta;EC
12;THETA_aucp_PRE_EC_parietotemporalPURE;0.18495;Pre;Parietotemporal;Theta;EC
13;THETA_aucp_PRE_EC_parietotemporalPURE;0.181775;Pre;Parietotemporal;Theta;EC
14;THETA_aucp_PRE_EC_parietotemporalPURE;0.1635;Pre;Parietotemporal;Theta;EC
1;THETA_aucp_POST_EC_parietotemporalPURE;0.127225;Post;Parietotemporal;Theta;EC
2;THETA_aucp_POST_EC_parietotemporalPURE;0.066425;Post;Parietotemporal;Theta;EC
3;THETA_aucp_POST_EC_parietotemporalPURE;0.14385;Post;Parietotemporal;Theta;EC
