Row;fb1_first_pos;tr_first_pos;fb2_first_pos;fb1_first_neg;tr_first_neg;fb2_first_neg;fb1_last_pos;tr_last_pos;fb2_last_pos;fb1_last_neg;tr_last_neg;fb2_last_neg
Vp1;86.25;86.4;83.4928571428571;87.25;86.45;85.7280701754386;85.375;84.75;81.125;84.96875;86.2560483870968;82.8699596774193
Vp2;78.0842105263158;78.6710526315789;76.75;79.9;80.7;79.0789473684211;72.3055555555556;71.9464285714286;71.4464285714286;73.3508064516129;72.2696908602151;73.28125
Vp3;64.95;63.15;63.35;66.65;64.25;63.6;67.5;67;67.25;68.28125;67.383064516129;67.03125
Vp4;82.3394736842105;82.6285714285714;81.2;81.85;81.5473684210526;81.85;79.625;79.375;77.625;80.6875;78.75;78.875
Vp5;76.1;74.1631578947368;73.9368421052632;77.3;76.35;77.15;74.625;75.625;74.0138888888889;77.5;78.65625;76.2610887096774
Vp6;108.05;108.222222222222;106.618421052632;105.2;108.039473684211;108.126315789474;85.75;88.3928571428572;90.4761904761905;88.3477822580645;88.7066810344828;89.0211520737327
Vp7;85.428947368421;NaN;79.9593567251462;87.7181286549708;NaN;82.4388888888889;75.125;NaN;69.2916666666667;76.5120967741936;NaN;72.0730858361142
Vp8;72.85;73.0210526315789;73.2;73.45;74.05;74.1263157894737;71.5;68.75;69.5;70.5274621212121;69.9576612903226;69.9375
Vp9;90.3789473684211;87.4;88.15;91.3;89.85;90.5;88.125;89.125;89.625;90.1008064516129;90.9102822580645;91.1028225806452
Vp10;67.35;67.5;67.2190476190476;69.2285714285714;69.45;69.5315789473684;67.4642857142857;69.5357142857143;69.125;67.7670454545455;70.0916666666667;69.7207661290323
Vp12;82.8166666666667;82.9;82.0315789473684;84.2952380952381;83.35;82.0228070175439;73.4642857142857;73.375;72.125;74.226814516129;74.3549853372434;73.21875
Vp13;79.35;78.5593984962406;80.3105263157895;79.75;79.2605263157895;81.05;76.75;77.125;77.25;77.2481060606061;76.6673387096774;77.375
Vp14;72.7;72.552380952381;73.1;75.1;73.7605263157895;74.5;76.375;70.875;69.75;81.59375;73.6875;73.875
Vp15;76.4342105263158;74.1921052631579;74.0763157894737;75.4277777777778;75.275;73.6347953216374;84.625;85.075;84.125;84.9833333333333;85.2379032258064;85.2148481778696
