Sitzung;Vp_01_FB_Pos;Vp_02_FB_Pos;Vp_03_FB_Pos;Vp_04_FB_Pos;Vp_05_FB_Pos;Vp_06_FB_Pos;Vp_07_FB_Pos;Vp_08_FB_Pos;Vp_09_FB_Pos;Vp_10_FB_Pos;Vp_12_FB_Pos;Vp_13_FB_Pos;Vp_14_FB_Pos;Vp_15_FB_Pos;Vp_01_FB_Neg;Vp_02_FB_Neg;Vp_03_FB_Neg;Vp_04_FB_Neg;Vp_05_FB_Neg;Vp_06_FB_Neg;Vp_07_FB_Neg;Vp_08_FB_Neg;Vp_09_FB_Neg;Vp_10_FB_Neg;Vp_12_FB_Neg;Vp_13_FB_Neg;Vp_14_FB_Neg;Vp_15_FB_Neg;Vp_01_TR_Pos;Vp_02_TR_Pos;Vp_03_TR_Pos;Vp_04_TR_Pos;Vp_05_TR_Pos;Vp_06_TR_Pos;Vp_07_TR_Pos;Vp_08_TR_Pos;Vp_09_TR_Pos;Vp_10_TR_Pos;Vp_12_TR_Pos;Vp_13_TR_Pos;Vp_14_TR_Pos;Vp_15_TR_Pos;Vp_01_TR_Neg;Vp_02_TR_Neg;Vp_03_TR_Neg;Vp_04_TR_Neg;Vp_05_TR_Neg;Vp_06_TR_Neg;Vp_07_TR_Neg;Vp_08_TR_Neg;Vp_09_TR_Neg;Vp_10_TR_Neg;Vp_12_TR_Neg;Vp_13_TR_Neg;Vp_14_TR_Neg;Vp_15_TR_Neg;FBDIFF_mV_Vp_01;FBDIFF_mV_Vp_02;FBDIFF_mV_Vp_03;FBDIFF_mV_Vp_04;FBDIFF_mV_Vp_05;FBDIFF_mV_Vp_06;FBDIFF_mV_Vp_07;FBDIFF_mV_Vp_08;FBDIFF_mV_Vp_09;FBDIFF_mV_Vp_10;FBDIFF_mV_Vp_12;FBDIFF_mV_Vp_13;FBDIFF_mV_Vp_14;FBDIFF_mV_Vp_15;TRDIFF_mV_Vp_01;TRDIFF_mV_Vp_02;TRDIFF_mV_Vp_03;TRDIFF_mV_Vp_04;TRDIFF_mV_Vp_05;TRDIFF_mV_Vp_06;TRDIFF_mV_Vp_07;TRDIFF_mV_Vp_08;TRDIFF_mV_Vp_09;TRDIFF_mV_Vp_10;TRDIFF_mV_Vp_12;TRDIFF_mV_Vp_13;TRDIFF_mV_Vp_14;TRDIFF_mV_Vp_15;mFBDIFF_Group;mTRDIFF_Group;Gruppen_FB_Pos;Gruppen_FB_Neg;Gruppen_TR_Pos;Gruppen_TR_Neg
1;14,024;-11,0356;17,7019;-13,7319;-9,9384;17,9095;-17,3257;-2,2715;-,6098;-6,3783;33,0872;17,9662;3,0166;36,6666;-,6738;-22,2335;,5283;15,9724;9,6757;37,671;-33,7497;-18,9593;10,3719;28,4518;32,1516;-28,1024;-,4792;13,9049;5,8455;-2,5499;,0753;-24,4299;13,5788;-3,9719;-13,797;-9,1787;1,5057;4,0196;7,5419;-4,8185;,9116;-4,1391;14,7615;-25,8567;-2,7879;-10,7533;-,5674;11,2057;1,0697;3,268;19,6753;2,2622;15,6074;6,5029;-2,7722;6,6239;14,6978;11,1979;17,1736;-29,7043;-19,6141;-19,7615;16,424;16,6878;-10,9817;-34,8301;,935600000000001;46,0686;3,4958;22,7617;-8,916;23,3068;2,8632;-13,6766;14,1462;-15,1776;-14,8667;-12,4467;-18,1696;1,7574;-8,0655;-11,3214;3,6838;-10,763;2;-4,83183571428571;5,64862857142857;3,18069285714286;-2,10047142857143;2,73136428571429
2;-11,1566;6,6391;3,8317;28,4201;-36,5054;-20,6024;-8,4326;17,4871;-40,8867;-8,0578;32,1562;33,3723;-4,8907;14,8082;-6,878;7,3187;-42,4378;42,1819;-25,3687;-29,5692;-11,6164;7,7143;-38,414;-6,254;33,3281;13,8769;-6,4275;-2,1817;-21,1055;1,5574;22,7606;5,1175;-1,007;-29,2768;8,5257;-4,5935;-14,504;-14,4642;3,7313;-33,3861;2,2742;11,7061;-15,0025;6,0628;4,2014;17,7724;-19,4427;-21,3075;10,2158;-1,7257;-14,1647;-2,7202;-6,2281;-11,4942;-1,791;20,5632;-4,2786;-,6796;46,2695;-13,7618;-11,1367;8,9668;3,1838;9,7728;-2,4727;-1,8038;-1,1719;19,4954;1,5368;16,9899;-6,103;-4,5054;18,5592;-12,6549;18,4357;-7,9693;-1,6901;-2,8678;-,3393;-11,744;9,9594;-21,8919;4,0652;-8,8571;5,06499285714286;-1,97166428571429;,441607142857143;-4,62338571428571;-4,47602142857143;-2,50435714285714
3;33,4681;4,9766;21,9348;-14,9943;19,4835;8,5739;37,8326;-12,9187;16,0079;-5,5147;5,4222;-7,599;-29,3806;-1,0062;9,4254;-3,5486;18,9964;-20,2537;13,0629;-2,7759;20,2642;-5,0133;12,0523;-7,7938;2,3573;1,16;-45,5875;-6,5524;-9,4742;7,9178;-11,4974;29,5205;,0849;-20,676;1,5876;-12,7668;-1,4096;2,6763;8,6163;-20,0457;-21,092;-5,8144;-2,9323;5,1538;-8,6914;43,0282;6,793;-23,7133;9,4342;-30,8646;-3,4551;-5,9839;-2,5619;-14,4269;-29,1174;-7,3605;24,0427;8,5252;2,9384;5,2594;6,4206;11,3498;17,5684;-7,9054;3,9556;2,2791;3,0649;-8,759;16,2069;5,5462;-6,5419;2,764;-2,806;-13,5077;-6,7081;3,0373;-7,8466;18,0978;2,0455;8,6602;11,1782;-5,6188;8,0254;1,5461;6,46377142857143;,880385714285714;5,44900714285714;-1,01476428571429;-3,74090714285714;-4,62129285714286
4;1,9904;2,567;33,2427;-4,7606;1,4425;24,8955;-1,4531;13,8422;-3,7721;8,143;9,7387;-23,0328;-7,6107;13,009;-8,0298;13,0784;13,7579;-15,4953;-11,0831;17,1943;48,3312;-4,2073;-1,6886;-6,3691;-9,2799;-29,3828;-14,8954;4,6072;,212;11,2533;4,607;9,9077;-16,5557;-13,7319;-4,953;-4,727;,0198;5,8758;-3,2017;-19,2434;1,2076;1,0287;5,3711;8,5074;-,6796;11,9814;-9,5751;-17,4375;8,9409;-7,5104;1,217;-3,6117;-5,5419;-19,7002;-7,4297;6,8939;10,0202;-10,5114;19,4848;10,7347;12,5256;7,7012;-49,7843;18,0495;-2,0835;14,5121;19,0186;6,35;7,2847;8,4018;-5,1591;2,7459;5,2866;-2,0737;-6,9806;3,7056;-13,8939;2,7834;-1,1972;9,4875;2,3402;,456799999999998;8,6373;-5,8652;5,12171428571429;,0195428571428568;4,87440714285714;-,247307142857143;-2,02148571428571;-2,04102857142857
5;5,2258;31,3631;5,1501;-17,2228;22,6256;32,5669;8,7063;25,5852;-9,2504;-21,1145;5,3291;-,7928;23,2219;5,3783;-13,4374;31,9639;15,1886;-26,0752;4,9204;31,3321;2,5085;2,4371;-6,1346;-14,8431;,9566;2,0841;13,813;-5,2335;4,4166;6,8876;8,6897;-28,5832;3,7733;17,1011;8,4911;27,0444;-15,0217;-5,8353;-,7703;-9,2792;-2,7694;11,5663;10,9524;16,8921;9,3727;-27,4955;,1792;4,4882;9,8215;25,4527;-2,4133;-7,9487;,0929;-24,7637;-10,6954;,7793;18,6632;-,6008;-10,0385;8,8524;17,7052;1,2348;6,1978;23,1481;-3,1158;-6,2714;4,3725;-2,8769;9,4089;10,6118;-6,5358;-10,0045;-,683;-1,0877;3,5941;12,6129;-1,3304;1,5917;-12,6084;2,1134;-,8632;15,4845;7,926;10,787;5,52080714285714;1,49975714285714;8,34084285714286;2,82003571428571;1,8365;,336742857142857
6;-38,6704;13,2722;-10,8451;-35,7269;-3,4846;-21,663;11,327;,2486;27,9868;3,7657;-19,0682;2,1718;1,7094;2,8677;-36,5652;22,507;-15,0533;-29,4616;-14,8516;-12,5374;-32,6848;-11,526;29,8671;-8,925;-27,1736;17,8036;4,1942;-,7447;8,9419;38,4911;-19,3501;-27,2119;-11,6945;-19,1271;3,4508;-1,0649;-11,6073;14,5417;20,5048;-6,7015;2,4602;2,063;4,2968;-7,0348;-8,4284;-8,0246;-9,7978;-7,6942;2,9682;-4,5313;-3,0624;12,8343;15,2612;-16,3288;-4,4369;4,356;-2,1052;-9,2348;4,2082;-6,2653;11,367;-9,1256;44,0118;11,7746;-1,8803;12,6907;8,1054;-15,6318;-2,4848;3,6124;4,6451;45,5259;-10,9217;-19,1873;-1,8967;-11,4329;,4826;3,4664;-8,5449;1,7074;5,2436;9,6273;6,8971;-2,293;3,50302142857143;1,66563571428571;-4,72207142857143;-8,22509285714286;-,450271428571428;-2,11590714285714
7;27,629;-65,0492;-,5721;6,268;22,0564;46,0207;10,2914;70,3675;-6,8466;24,5836;14,1106;45,7258;14,1083;9,6143;-39,5655;-23,2469;-11,9847;9,4757;31,2734;-17,7987;11,4978;47,3493;-22,8559;45,2992;55,4209;47,1982;,5127;-10,3461;4,8944;-18,6039;-20,1854;-2,3781;1,0503;-1,9587;-15,164;33,319;4,5664;7,9963;12,1259;-19,857;-6,0031;9,6741;-10,5458;-8,4213;-14,6128;-7,1236;6,2263;-2,0168;-8,4213;34,656;7,3862;-10,151;10,3162;-2,2939;-8,2317;-7,28;67,1945;-41,8023;11,4126;-3,2077;-9,217;63,8194;-1,2064;23,0182;16,0093;-20,7156;-41,3103;-1,4724;13,5956;19,9604;15,4402;-10,1826;-5,5726;4,7455;-5,176;,0580999999999998;-6,7427;-1,337;-2,8198;18,1473;1,8097;-17,5631;2,2286;16,9541;6,86273571428571;,713550000000001;15,5934071428571;8,73067142857143;-,7517;-1,46525
8;23,5631;41,9121;-7,4952;-31,0379;-12,1899;10,2487;-5,0541;-9,1073;-31,8631;1,6686;61,3341;32,0862;26,2038;12,7778;-45,1171;46,4315;-26,3488;-31,0379;-42,693;-6,445;-10,6213;-17,8225;-27,3847;,6711;56,4298;21,1956;26,828;-5,4729;-15,2374;,5704;-14,5676;-29,6931;-28,3114;3,2476;-5,4142;-17,5959;-18,5907;8,3559;21,5617;-3,7075;3,6144;18,1366;-38,9441;1,8757;-9,4603;-20,5291;-23,8346;4,1642;-7,4487;-11,9012;-18,9277;-5,049;-2,5158;-,2614;8,5063;,7519;68,6802;-4,5194;18,8536;0;30,5031;16,6937;5,5672;8,7152;-4,4784;,9975;4,9043;10,8906;-,624199999999998;18,2507;23,7067;-1,3053;-5,1073;-9,164;-4,4768;-,9166;2,0345;-5,6947;,337000000000003;13,4049;24,0775;-3,4461;-4,8919;17,3847;12,4595785714286;3,28161428571429;8,07477857142857;-4,3848;-5,54508571428571;-8,8267
9;28,5098;-2,6701;5,8981;8,1065;-28,51;-5,6058;34,5188;22,2645;13,6596;4,7606;36,1031;,4574;12,987;-2,1588;5,103;14,4104;-2,5642;7,5818;-34,6477;-7,9535;8,5569;24,5898;4,612;-7,6382;50,7272;-30,2339;18,7874;-1,2003;6,3894;22,0973;-3,1423;-4,646;-26,2578;-14,309;,542;33,511;,6097;6,4208;106,1996;-26,4897;-3,2789;11,2872;-29,011;19,3263;-3,5662;1,1402;-24,3169;12,4835;-12,5474;5,9851;,6677;3,1439;56,0683;-19,1705;-1,3897;-3,9408;23,4068;-17,0805;8,4623;,5247;6,1377;2,3477;25,9619;-2,3253;9,0476;12,3988;-14,6241;30,6913;-5,8004;-,9585;35,4004;2,771;,4239;-5,7862;-1,9409;-26,7925;13,0894;27,5259;-,0579999999999999;3,2769;50,1313;-7,3192;-1,8892;15,228;5,585;7,43291428571429;9,16576428571429;3,58076428571429;7,78095;,348035714285714
10;-1,4505;9,4845;-20,0676;-3,2279;-60,3707;5,1115;-29,4759;8,4166;24,2463;9,2194;14,6701;-8,7671;15,2039;1,7386;-25,2477;33,9103;-48,1776;-52,9538;-55,9072;10,1862;-45,4914;-16,0436;6,3386;54,5566;14,7309;-10,0476;-1,6207;2,8501;1,1403;-26,8668;4,1684;1,0724;-7,7784;-1,2381;-36,6961;7,5123;-9,7249;7,9135;-14,9755;-1,2582;-3,6728;3,6859;-,9645;-24,2269;-59,5749;-2,9535;-15,8615;-6,6292;-27,2463;3,3913;-12,7149;13,6611;-12,8337;-7,51;-4,3794;-5,1371;23,7972;-24,4258;28,11;49,7259;-4,4635;-5,0747;16,0155;24,4602;17,9077;-45,3372;-,0608000000000004;1,2805;16,8246;-1,1115;2,1048;-2,6399;63,7433;4,0259;8,0831;5,3911;-9,4498;4,121;2,99;-5,7476;-2,1418;6,2518;,7066;8,823;6,97486428571429;6,16153571428571;-2,5192;-9,49406428571429;-5,47985714285714;-11,6413928571429
